"lncRNA","Cancer","gene_type","pathway","pval","padj","ES","NES","nMoreExtreme","size","sigValue"
"AC002044.4","ACC","sense_intronic","GOBP_NAD_METABOLIC_PROCESS",0.001998001998002,0.025974025974026,-0.559977180662072,-1.43843193051577,1,47,-0.996003996003996
"AC004069.2","ACC","lincRNA","GOBP_NAD_METABOLIC_PROCESS",0.000999000999000999,0.012987012987013,0.53445879105095,1.50920041260501,0,47,0.998001998001998
"AC004854.4","ACC","antisense","GOBP_NADH_REGENERATION",0.00210970464135021,0.0274261603375527,0.816052576765395,1.95382957043818,0,11,0.9957805907173
"AC005775.2","ACC","antisense","NAD+ metabolism",0.00203458799593082,0.0264496439471007,0.629752408426347,1.64256377873474,1,16,0.995930824008138
"AC009784.3","ACC","lincRNA","GOBP_NAD_METABOLIC_PROCESS",0.001,0.013,0.588229428141552,1.46946409341691,0,47,0.998
"AC011738.4","ACC","antisense","GOBP_NAD_METABOLIC_PROCESS",0.001,0.013,0.576471737527739,1.60943383950353,0,47,0.998
"AC013460.1","ACC","processed_transcript","GOBP_NADH_OXIDATION",0.00131578947368421,0.0171052631578947,-0.892993591635498,-1.77556455632296,0,6,-0.997368421052632
"AC018890.6","ACC","antisense","GOBP_NAD_BIOSYNTHETIC_PROCESS",0.00106723585912487,0.0138740661686233,0.619803309043251,1.70419152211452,0,28,0.99786552828175
"AC019117.2","ACC","lincRNA","NAD+ biosynthetic pathways",0.00201816347124117,0.0262361251261352,0.617942741613753,1.60140656517133,1,22,0.995963673057518
"AC020594.5","ACC","antisense","GOBP_NAD_METABOLIC_PROCESS",0.00102040816326531,0.013265306122449,0.586349116549195,1.58479190712427,0,47,0.997959183673469
"AC061992.2","ACC","lincRNA","GOBP_NAD_METABOLIC_PROCESS",0.001998001998002,0.025974025974026,0.506404344431092,1.43763973107157,1,47,0.996003996003996
"AC068196.1","ACC","lincRNA","GOBP_NADH_METABOLIC_PROCESS",0.00247831474597274,0.00836550836550837,-0.593084348071742,-1.6545575661615,1,30,-0.995043370508054
"AC068196.1","ACC","lincRNA","REACTOME_NICOTINATE_METABOLISM",0.00123915737298637,0.0080545229244114,-0.60081501596411,-1.67612420351146,0,30,-0.997521685254027
"AC068196.1","ACC","lincRNA","GOBP_NAD_METABOLIC_PROCESS",0.00118483412322275,0.0080545229244114,-0.569526841267718,-1.72641627631863,0,47,-0.997630331753555
"AC068580.6","ACC","antisense","REACTOME_NICOTINATE_METABOLISM",0.000999000999000999,0.012987012987013,0.577827433980469,1.46631469554758,0,30,0.998001998001998
"AC078883.3","ACC","antisense","GOBP_NAD_METABOLIC_PROCESS",0.000999000999000999,0.00679205851619645,0.650577011507179,1.88612092783358,0,47,0.998001998001998
"AC078883.3","ACC","antisense","GOBP_NADH_REGENERATION",0.00104493207941484,0.00679205851619645,0.774254752934704,1.85490389004299,0,11,0.99791013584117
"AC096772.6","ACC","lincRNA","NAD+ metabolism",0.00201409869083585,0.0261832829808661,0.699851091167875,1.57247623650736,1,16,0.995971802618328
"AC098828.2","ACC","lincRNA","GOBP_NADH_METABOLIC_PROCESS",0.00108813928182807,0.014145810663765,0.670777392478983,1.80298116699223,0,30,0.997823721436344
"AC114803.3","ACC","antisense","GOBP_NAD_METABOLIC_PROCESS",0.001,0.013,0.692766345955108,1.81569819095999,0,47,0.998
"AC156455.1","ACC","processed_transcript","GOBP_NADH_REGENERATION",0.00207684319833853,0.0134994807892004,0.696356700416696,1.66311824300103,1,11,0.995846313603323
"AC156455.1","ACC","processed_transcript","GOBP_NAD_METABOLIC_PROCESS",0.000999000999000999,0.012987012987013,0.608750468168341,1.7582933742884,0,47,0.998001998001998
"AP000266.7","ACC","antisense","NAD+ metabolism",0.0010183299389002,0.0132382892057026,0.647096422010429,1.64975442294975,0,16,0.9979633401222
"AP000695.4","ACC","antisense","GOBP_NADH_REGENERATION",0.00104602510460251,0.00679916317991632,0.776632124311848,1.78997507252547,0,11,0.997907949790795
"AP000695.4","ACC","antisense","GOBP_NADH_METABOLIC_PROCESS",0.001001001001001,0.00679916317991632,0.572692247673831,1.51292371127973,0,30,0.997997997997998
"AP000695.4","ACC","antisense","GOBP_NAD_METABOLIC_PROCESS",0.001998001998002,0.00865800865800866,0.57959309100764,1.58650939734303,1,47,0.996003996003996
"C10orf91","ACC","lincRNA","GOBP_NADH_OXIDATION",0.00118483412322275,0.0154028436018957,0.835534099779626,1.67784459747462,0,6,0.997630331753555
"CITF22-49E9.3","ACC","lincRNA","GOBP_NAD_METABOLIC_PROCESS",0.000999000999000999,0.012987012987013,0.581544116870498,1.59823545944368,0,47,0.998001998001998
"CTB-138E5.1","ACC","antisense","GOBP_NAD_METABOLIC_PROCESS",0.00155038759689922,0.0105348460291734,0.579284990385936,1.81413074463759,0,47,0.996899224806202
"CTB-138E5.1","ACC","antisense","GOBP_NADH_METABOLIC_PROCESS",0.00162074554294976,0.0105348460291734,0.629652601535036,1.81291654112762,0,30,0.9967585089141
"CTB-32O4.3","ACC","lincRNA","KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",0.00201816347124117,0.0262361251261352,0.6254342722342,1.66030222971753,1,23,0.995963673057518
"CTD-2008P7.10","ACC","lincRNA","REACTOME_NICOTINATE_METABOLISM",0.0013550135501355,0.0176151761517615,0.655303368954585,1.73888559120556,0,30,0.997289972899729
"CTD-2033A16.3","ACC","antisense","GOBP_NAD_METABOLIC_PROCESS",0.002,0.026,0.553976408033,1.50718945195499,1,47,0.996
"CTD-2306A12.1","ACC","lincRNA","GOBP_NAD_METABOLIC_PROCESS",0.00121212121212121,0.0157575757575758,0.604594270498206,1.79435019931761,0,47,0.997575757575758
"CTD-2396E7.11","ACC","antisense","KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",0.00100502512562814,0.00444900752908966,0.704769830623018,1.80543872099876,0,23,0.997989949748744
"CTD-2396E7.11","ACC","antisense","NAD+ metabolism",0.00102669404517454,0.00444900752908966,0.766740626201787,1.87578484184959,0,16,0.997946611909651
"CTD-2396E7.11","ACC","antisense","NAD+ biosynthetic pathways",0.00100806451612903,0.00444900752908966,0.639691367358885,1.63352015675998,0,22,0.997983870967742
