feature.sig	pvalue.sig	fdr.sig	n.sig	coef.sig	mean0.sig	mean1.sig	mean0.sig.w	mean1.sig.w	class
RB1	1.36339035107297e-05	0.00489457136035197	2	1.13906971557469	0.105590062111801	0.248677248677249	0.0993358639658913	0.256249122387272	BLCA
COL6A6	0.000139188854136218	0.0249843993174511	2	-1.49337932742642	0.124223602484472	0.0317460317460317	0.141915260734647	0.0358172191751313	BLCA
TP53	3.15093459830081e-07	3.62357478804594e-05	1	0.636566991689674	0.25531914893617	0.387755102040816	0.247317074909671	0.383101190391542	BRCA
ZFHX4	3.21114007810834e-05	0.0332031884076403	1	1.45076105580858	0.0674157303370786	0.247933884297521	0.0707240023059808	0.24511096890788	COAD
PTEN	0.000127218312245869	0.00295146484410416	6	2.00269257208133	0.0152905198776758	0.129496402877698	0.0172860913196709	0.115298775667705	LGG
NF1	0.000489694338381017	0.00946742387536633	6	1.38695426908539	0.0336391437308868	0.136690647482014	0.0338749821689915	0.123071257368095	LGG
ATRX	3.02517487504329e-08	1.75460142752511e-06	6	-1.08063601022768	0.46177370030581	0.223021582733813	0.471442045377866	0.232367256151331	LGG
IDH1	1.42731390200293e-13	1.65568412632339e-11	6	-1.62967398436453	0.899082568807339	0.510791366906475	0.858058188301213	0.542293876218056	LGG
TP53	1.08471769455596e-07	4.19424175228305e-06	6	-0.980006305642518	0.574923547400612	0.309352517985612	0.567334312697276	0.329814778599701	LGG
EGFR	6.14918968141173e-07	1.7832650076094e-05	6	2.12356615351384	0.018348623853211	0.194244604316547	0.0263774979461982	0.184681486579947	LGG
KEAP1	3.46955523217079e-06	0.00257094042703855	1	1.1760891485927	0.1	0.240343347639485	0.0928624792264948	0.249162261532173	LUAD
LCE2A	0.000152333309096442	0.0169089973097051	1	-1.2961967364219	0.469387755102041	0.242105263157895	0.490642719992352	0.208559517086123	PAAD
PIK3CA	0.000914010209397529	0.0115195847814777	1208	0.947451422429844	0.4	0.679245283018868	0.450872557503327	0.679245283018868	UCEC
TTN	0.0317751096515637	0.0419320442650766	1208	0.61699497795622	0.263157894736842	0.452830188679245	0.308692952114641	0.452830188679245	UCEC
CSMD3	1.13315175692876e-05	0.00570730768239788	1208	1.87199812708336	0.0842105263157895	0.339622641509434	0.0733064430808047	0.339622641509434	UCEC
MUC16	0.00232331574786073	0.012812153631451	1208	1.00191702907981	0.157894736842105	0.358490566037736	0.170252533042671	0.358490566037736	UCEC
ZFHX3	0.000947856291766604	0.0115195847814777	1208	1.19095538951442	0.136842105263158	0.320754716981132	0.125509389637324	0.320754716981132	UCEC
DMD	0.000276123707505567	0.0101627830804638	1208	1.53270660416999	0.0631578947368421	0.283018867924528	0.0785478651139428	0.283018867924528	UCEC
FAT1	2.43133691168027e-05	0.00918437518387221	1208	1.83490669213218	0.0736842105263158	0.320754716981132	0.0700962175411373	0.320754716981132	UCEC
FAT4	0.000349394568566258	0.0101627830804638	1208	1.40377667816187	0.0947368421052632	0.30188679245283	0.0960325749975336	0.30188679245283	UCEC
MUC5B	0.00811486292550369	0.0165473115795359	1208	0.951619669630831	0.126315789473684	0.283018867924528	0.132256192366261	0.283018867924528	UCEC
RYR2	0.000108116043370056	0.0101627830804638	1208	1.7524963599478	0.0736842105263158	0.283018867924528	0.0640419500682543	0.283018867924528	UCEC
OBSCN	0.000121794420272103	0.0101627830804638	1208	1.59906390402274	0.0947368421052632	0.30188679245283	0.0803653633397016	0.30188679245283	UCEC
DST	0.00189056523432272	0.0120026830416687	1208	1.13456867297849	0.115789473684211	0.30188679245283	0.122077968300214	0.30188679245283	UCEC
NEB	0.0011992660682043	0.0120026830416687	1208	1.2600959165111	0.105263157894737	0.283018867924528	0.100685421779867	0.283018867924528	UCEC
ZFHX4	0.0103575718093789	0.0197854500682321	1208	0.94960537991972	0.105263157894737	0.264150943396226	0.121948150165262	0.264150943396226	UCEC
