feature.sig/Gene	feature.sig/Protein	feature.sig	pvalue.sig	fdr.sig	n.sig	coef.sig	mean0.sig	mean1.sig	mean0.sig.w	mean1.sig.w	class
EIF4EBP1	4E.BP1	EIF4EBP1_sym2pro_4E.BP1.R.V	0.005146673	0.034079322	38	0.1321284	-0.066218736	0.034352162	-0.067214112	0.064914288	BLCA
ARAF	A.Raf	ARAF_sym2pro_A.Raf.R.V	0.001745593	0.014517378	38	0.081567295	-0.047046946	0.033316384	-0.041727045	0.03984025	BLCA
ARID1A	ARID1A	ARID1A_sym2pro_ARID1A.R.C	0.002277894	0.01713326	38	-0.233604441	0.111724511	-0.211711974	0.076308807	-0.072983044	BLCA
ANXA1	Annexin.1	ANXA1_sym2pro_Annexin.1.M.E	0.000738532	0.009047015	38	0.322250426	-0.122175372	0.345443342	-0.023218803	0.299031624	BLCA
ITGA2	CD49b	ITGA2_sym2pro_CD49b.M.V	3.67E-05	0.001074166	38	0.243317188	-0.06054461	0.104931955	-0.098853083	0.144464105	BLCA
CASP7	Caspase.7	CASP7_sym2pro_Caspase.7_cleavedD198.R.C	5.24E-05	0.001282933	38	0.442684312	0.015965186	0.577501079	0.152150469	0.594834781	BLCA
CCNB1	Cyclin	CCNB1_sym2pro_Cyclin_B1.R.V	0.000427607	0.006547737	38	0.299824002	-0.106224887	0.119181508	-0.121237359	0.178586643	BLCA
DIRAS3	DIRAS3	DIRAS3_sym2pro_DIRAS3.M.E	0.00033672	0.005499753	38	-0.087513299	0.138818947	0.059134836	0.138775077	0.051261778	BLCA
DVL3	Dvl3	DVL3_sym2pro_Dvl3.R.V	0.000936367	0.010427728	38	0.134699173	-0.03272237	0.09779626	-0.023693843	0.111005329	BLCA
EGFR	EGFR	NA_sym2pro_EGFR.R.C	0.000211867	0.004325621	38	0.502917602	-0.34689555	0.144251907	-0.101255766	0.067808112	BLCA
EGFR	EGFR	EGFR_sym2pro_EGFR.R.V	2.52E-05	0.001030547	38	0.200805125	-0.093027245	0.109829351	-0.078793751	0.051749601	BLCA
FASN	FASN	FASN_sym2pro_FASN.R.V	0.001777638	0.014517378	38	-0.283135911	0.128779973	-0.292114749	0.081398621	-0.20173729	BLCA
G6PD	G6PD	G6PD_sym2pro_G6PD.M.V	0.001052229	0.010741499	38	0.274290261	0.003111063	0.312243813	0.042660531	0.316950792	BLCA
GAPDH	GAPDH	GAPDH_sym2pro_GAPDH.M.C	9.08E-06	0.001030547	38	0.367139153	-0.122277378	0.174871234	-0.157016279	0.210122875	BLCA
GATA3	GATA3	GATA3_sym2pro_GATA3.M.V	3.18E-08	7.79E-06	38	-0.522129848	0.509479903	-0.222287112	0.414189445	-0.107940403	BLCA
ERBB2	HER2	ERBB2_sym2pro_HER2.M.V	0.000204562	0.004325621	38	-0.42584312	0.374693071	-0.290600493	0.272261759	-0.15358136	BLCA
IGFBP2	IGFBP2	IGFBP2_sym2pro_IGFBP2.R.V	0.002749529	0.019722187	38	-0.203472486	0.239461884	0.040784576	0.228128343	0.024655856	BLCA
COPS5	JAB1	COPS5_sym2pro_JAB1.M.C	0.000907185	0.010427728	38	-0.094686775	0.12959546	0.018699974	0.118462702	0.023775926	BLCA
ERRFI1	MIG.6	ERRFI1_sym2pro_MIG.6.M.V	0.002307745	0.01713326	38	0.064613108	-0.027031614	0.05144051	-0.017631135	0.046981973	BLCA
NDRG1	NDRG1	NDRG1_sym2pro_NDRG1_pT346.R.V	0.001925076	0.015214311	38	0.353712601	0.070659938	0.368635014	0.054838197	0.408550798	BLCA
CDH3	P.Cadherin	CDH3_sym2pro_P.Cadherin.R.C	0.000982542	0.010466208	38	0.137538699	-0.052285358	0.11142454	-0.030319939	0.107218761	BLCA
SERPINE1	PAI.1	SERPINE1_sym2pro_PAI.1.M.E	3.79E-05	0.001074166	38	0.481684773	-0.279862863	0.359230512	-0.176018699	0.305666074	BLCA
PCNA	PCNA	PCNA_sym2pro_PCNA.M.C	0.000638986	0.008717269	38	0.121215336	-0.11106448	0.009466969	-0.106937547	0.014277788	BLCA
RAB11A..RAB11B	Rab11	RAB11A..RAB11B_sym2pro_Rab11.R.E	0.001199979	0.011759793	38	-0.087808815	0.079999263	0.010857472	0.098093134	0.010284319	BLCA
RAB25	Rab25	RAB25_sym2pro_Rab25.R.V	0.001414377	0.013327784	38	-0.236906554	0.082009261	-0.266342405	0.045163676	-0.191742878	BLCA
RAD50	Rad50	RAD50_sym2pro_Rad50.M.V	0.000718956	0.009047015	38	-0.104246326	-0.018745228	-0.132316227	-0.033513476	-0.137759802	BLCA
RPS6	S6	RPS6_sym2pro_S6_pS235_S236.R.V	0.002817455	0.019722187	38	0.203074387	-0.011560401	0.103085145	-0.048673115	0.154401271	BLCA
SRSF1	SF2	SRSF1_sym2pro_SF2.M.V	0.000640452	0.008717269	38	-0.116440208	0.069873619	-0.103352152	0.035757553	-0.080682655	BLCA
STAT3	STAT3	STAT3_sym2pro_STAT3_pY705.R.V	0.000274391	0.005171209	38	0.162402558	-0.108151168	0.127442218	-0.083021955	0.079380603	BLCA
DIABLO	Smac	DIABLO_sym2pro_Smac.M.E	3.95E-05	0.001074166	38	-0.167796374	0.123245129	-0.132527777	0.075968896	-0.091827478	BLCA
SRC	Src	SRC_sym2pro_Src.M.V	2.18E-05	0.001030547	38	-0.263084853	0.296579167	-0.103210923	0.226197363	-0.03688749	BLCA
C12ORF5	TIGAR	C12ORF5_sym2pro_TIGAR.R.V	0.000323085	0.005499753	38	0.095667933	-0.056148691	0.08597206	-0.030692841	0.064975093	BLCA
TGM2	Transglutaminase	TGM2_sym2pro_Transglutaminase.M.V	0.001713884	0.014517378	38	0.197051456	-0.089381681	0.237485003	-0.021979447	0.175072009	BLCA
TSC2	Tuberin	TSC2_sym2pro_Tuberin_pT1462.R.V	0.001643491	0.014517378	38	-0.088517598	0.048924862	-0.041811643	0.029848802	-0.058668796	BLCA
YBX1	YB.1	YBX1_sym2pro_YB.1_pS102.R.V	1.91E-05	0.001030547	38	0.129604194	0.00199101	0.10112307	-0.00177219	0.127832004	BLCA
MAPK14	p38	MAPK14_sym2pro_p38_MAPK.R.V	2.42E-05	0.001030547	38	0.145541485	-0.094834713	0.106454812	-0.066550317	0.078991168	BLCA
RPS6KB1	p70S6K	RPS6KB1_sym2pro_p70S6K_pT389.R.V	0.005343078	0.03444879	38	-0.102011002	0.070637956	-0.025898943	0.07149653	-0.030514472	BLCA
RPS6KA1	p90RSK	RPS6KA1_sym2pro_p90RSK.R.C	0.004979526	0.033888439	38	0.108957789	-0.025684028	0.03803583	-0.054587564	0.054370225	BLCA
YWHAZ	14.3.3	YWHAZ_sym2pro_14.3.3_zeta.R.V	0.007154624	0.040208986	51	0.081887115	0.065396721	0.129007259	0.047256563	0.129143678	BRCA
EIF4EBP1	4E.BP1	EIF4EBP1_sym2pro_4E.BP1_pT37_T46.R.V	0.005140183	0.03073173	51	-0.13458271	0.17153666	0.064359824	0.188548893	0.053966183	BRCA
TP53BP1	53BP1	NA_sym2pro_53BP1.R.C	0.00239184	0.019767853	51	-0.148306246	0.034850398	-0.097198311	0.036288028	-0.078852433	BRCA
ARAF	A.Raf	ARAF_sym2pro_A.Raf_pS299.R.C	0.001994869	0.018685273	51	0.064206472	-0.00955131	0.056752256	-0.007898639	0.056307833	BRCA
ACACA	ACC1	NA_sym2pro_ACC1.R.C	4.54E-05	0.000981486	51	0.288012757	-0.064048139	0.218689537	-0.038232283	0.193114178	BRCA
ACACA	ACC1	ACACA_sym2pro_ACC1.R.E	0.00024617	0.003293984	51	0.308919641	0.029717476	0.317011098	0.013044659	0.115733014	BRCA
ACACA..ACACB	ACC	ACACA..ACACB_sym2pro_ACC_pS79.R.V	0.000432605	0.005065079	51	0.186177608	0.072401774	0.249400777	0.065695595	0.251873203	BRCA
BRCA2	BRCA2	BRCA2_sym2pro_BRCA2.R.C	0.002140953	0.019406703	51	-0.055573334	-0.0044904	-0.069624293	-0.009704075	-0.065277409	BRCA
BCL2	Bcl.2	BCL2_sym2pro_Bcl.2.M.V	1.28E-08	8.99E-07	51	-0.350073482	0.34455595	0.001353079	0.34761329	-0.002460192	BRCA
PECAM1	CD31	PECAM1_sym2pro_CD31.M.V	0.001619846	0.015695749	51	-0.105092269	-0.070993698	-0.174721047	-0.071540968	-0.176633236	BRCA
CASP7	Caspase.7	CASP7_sym2pro_Caspase.7_cleavedD198.R.C	0.000603235	0.006520668	51	0.18701075	0.041930353	0.216367438	0.039094699	0.226105449	BRCA
CCNB1	Cyclin	CCNB1_sym2pro_Cyclin_B1.R.V	0.000199129	0.00279776	51	0.251048521	0.006886429	0.214005217	-0.018306822	0.232741698	BRCA
CCNE1	Cyclin	CCNE1_sym2pro_Cyclin_E1.M.V	0.003074889	0.020572475	51	0.11614874	0.09485288	0.179779341	0.070444459	0.1865932	BRCA
CCNE2	Cyclin	CCNE2_sym2pro_Cyclin_E2.R.C	0.002267895	0.019661051	51	0.070046584	0.022904186	0.083358917	0.013331972	0.083378556	BRCA
