feature.sig	pvalue.sig	fdr.sig	n.sig	coef.sig	mean0.sig	mean1.sig	mean0.sig.w	mean1.sig.w	class
EIF4EBP1_sym2pro_4E.BP1.R.V	0.0051466731601517	0.0340793222766802	38	0.132128399814034	-0.0662187359388489	0.034352162060241	-0.0672141121811458	0.0649142876328881	BLCA
ARAF_sym2pro_A.Raf.R.V	0.00174559294443052	0.0145173780786084	38	0.0815672950404208	-0.0470469459676259	0.0333163840180723	-0.0417270450008814	0.0398402500395394	BLCA
ARID1A_sym2pro_ARID1A.R.C	0.0022778938028443	0.0171332598950374	38	-0.233604441204473	0.111724510887755	-0.211711974205882	0.0763088074784208	-0.072983044411664	BLCA
ANXA1_sym2pro_Annexin.1.M.E	0.000738531874085064	0.00904701545754204	38	0.322250426184983	-0.122175372413669	0.345443341572289	-0.02321880267018	0.299031623514803	BLCA
ITGA2_sym2pro_CD49b.M.V	3.66954122433853e-05	0.00107416593721108	38	0.243317188231243	-0.0605446104064748	0.104931955457831	-0.0988530828161978	0.144464105415045	BLCA
CASP7_sym2pro_Caspase.7_cleavedD198.R.C	5.23645997994601e-05	0.00128293269508677	38	0.44268431239175	0.0159651859172662	0.577501079355422	0.152150468564962	0.594834780956712	BLCA
CCNB1_sym2pro_Cyclin_B1.R.V	0.000427607326595766	0.00654773718849767	38	0.29982400249576	-0.10622488721223	0.119181508355422	-0.121237359309189	0.178586643186571	BLCA
DIRAS3_sym2pro_DIRAS3.M.E	0.000336719571422852	0.00549975299990658	38	-0.0875132994921665	0.138818947384892	0.0591348356746988	0.138775077397687	0.0512617779055205	BLCA
DVL3_sym2pro_Dvl3.R.V	0.000936367446849576	0.0104277283853703	38	0.134699172830232	-0.0327223704928057	0.0977962601385542	-0.0236938434387086	0.111005329391524	BLCA
NA_sym2pro_EGFR.R.C	0.000211867173278829	0.00432562145444277	38	0.502917602142295	-0.346895550304878	0.144251906578125	-0.101255766397133	0.067808111819435	BLCA
EGFR_sym2pro_EGFR.R.V	2.52378742756154e-05	0.00103054653292096	38	0.200805125482211	-0.093027245377551	0.109829351490196	-0.0787937505037035	0.051749601477304	BLCA
FASN_sym2pro_FASN.R.V	0.0017776381320745	0.0145173780786084	38	-0.283135910737739	0.128779973341727	-0.292114748879518	0.0813986209527734	-0.201737289784966	BLCA
G6PD_sym2pro_G6PD.M.V	0.00105222850437561	0.010741499315501	38	0.274290261034513	0.00311106326978418	0.312243813024096	0.0426605309481377	0.316950791982651	BLCA
GAPDH_sym2pro_GAPDH.M.C	9.07829079581759e-06	0.00103054653292096	38	0.367139153155112	-0.122277377895683	0.174871234150602	-0.157016278505701	0.210122874649411	BLCA
GATA3_sym2pro_GATA3.M.V	3.18124582492117e-08	7.79405227105686e-06	38	-0.522129847689582	0.509479903334532	-0.222287111518072	0.414189444585641	-0.107940403103942	BLCA
ERBB2_sym2pro_HER2.M.V	0.000204562432123992	0.00432562145444277	38	-0.425843119655521	0.374693070766187	-0.290600493337349	0.272261759394494	-0.153581360261028	BLCA
IGFBP2_sym2pro_IGFBP2.R.V	0.0027495286167446	0.0197221866941207	38	-0.203472486183448	0.239461883557554	0.0407845760843374	0.228128342608849	0.0246558564254008	BLCA
COPS5_sym2pro_JAB1.M.C	0.000907185098308364	0.0104277283853703	38	-0.0946867754795461	0.129595460363309	0.0186999743674698	0.118462701780276	0.0237759263007298	BLCA
ERRFI1_sym2pro_MIG.6.M.V	0.00230774521035198	0.0171332598950374	38	0.0646131082840588	-0.027031613557554	0.0514405095843373	-0.0176311354575466	0.0469819728265121	BLCA
NDRG1_sym2pro_NDRG1_pT346.R.V	0.00192507609817825	0.0152143110985055	38	0.35371260113118	0.0706599375719424	0.368635013644578	0.0548381970930041	0.408550798224184	BLCA
CDH3_sym2pro_P.Cadherin.R.C	0.000982541964088047	0.0104662078783292	38	0.137538699408349	-0.0522853578165468	0.111424539951807	-0.0303199385585509	0.107218760849798	BLCA
SERPINE1_sym2pro_PAI.1.M.E	3.78900246846131e-05	0.00107416593721108	38	0.481684773211614	-0.279862863097122	0.359230511807229	-0.176018698916896	0.305666074294718	BLCA
PCNA_sym2pro_PCNA.M.C	0.000638985547062013	0.00871726870855635	38	0.121215335645716	-0.111064479866906	0.00946696875903615	-0.106937547188443	0.0142777884572729	BLCA
RAB11A..RAB11B_sym2pro_Rab11.R.E	0.00119997886502718	0.0117597928772663	38	-0.0878088152006399	0.0799992627014389	0.010857471686747	0.0980931339724945	0.0102843187718546	BLCA
RAB25_sym2pro_Rab25.R.V	0.0014143770246899	0.0133277835018856	38	-0.236906553952052	0.0820092607877698	-0.266342404963855	0.0451636764275317	-0.191742877524521	BLCA
RAD50_sym2pro_Rad50.M.V	0.000718956331832863	0.00904701545754204	38	-0.104246326036928	-0.0187452280035971	-0.132316227114458	-0.0335134758800669	-0.137759801916995	BLCA
RPS6_sym2pro_S6_pS235_S236.R.V	0.00281745524201724	0.0197221866941207	38	0.203074386621681	-0.0115604013848921	0.103085144524096	-0.0486731152729811	0.1544012713487	BLCA
SRSF1_sym2pro_SF2.M.V	0.000640452394914344	0.00871726870855635	38	-0.116440207909651	0.0698736189604316	-0.103352152301205	0.0357575527114518	-0.0806826551981994	BLCA
STAT3_sym2pro_STAT3_pY705.R.V	0.000274390693620534	0.00517120922592545	38	0.162402557946559	-0.108151167859712	0.127442218301205	-0.0830219546906728	0.0793806032558857	BLCA
DIABLO_sym2pro_Smac.M.E	3.94591568771418e-05	0.00107416593721108	38	-0.167796374432313	0.123245129442446	-0.132527777355422	0.0759688959740327	-0.0918274784582804	BLCA
SRC_sym2pro_Src.M.V	2.17585089662706e-05	0.00103054653292096	38	-0.263084853034688	0.29657916678777	-0.103210922777108	0.226197363045383	-0.0368874899893052	BLCA
C12ORF5_sym2pro_TIGAR.R.V	0.000323085295226443	0.00549975299990658	38	0.0956679333354776	-0.0561486910179856	0.0859720597469879	-0.0306928408139488	0.0649750925215287	BLCA
TGM2_sym2pro_Transglutaminase.M.V	0.00171388368156252	0.0145173780786084	38	0.197051456494907	-0.0893816810611511	0.237485002716867	-0.0219794474796683	0.175072009015238	BLCA
TSC2_sym2pro_Tuberin_pT1462.R.V	0.00164349143678786	0.0145173780786084	38	-0.0885175978170936	0.0489248616366906	-0.041811643433735	0.0298488020479982	-0.0586687957690955	BLCA
